,unix_ts,timestamp,total_calls,marcadores,dest_nums,dest_nums_flat,avg_dur,avg_dur_flat,nums_bloq,dur_iter
48,1732735236.927559,2024-11-27 14:20:36.927559,575809,2,72476,21307,309.2678986512314,166.17769903571897,1,
49,1732735536.787949,2024-11-27 14:25:36.787949,576229,2,72478,21298,309.3196973933508,166.20125771449867,1,
50,1732735836.710932,2024-11-27 14:30:36.710932,576618,2,72478,21295,309.3382802326401,166.26296345604084,1,
51,1732736136.810293,2024-11-27 14:35:36.810293,576978,2,72478,21299,309.34498008012207,166.38237062380932,1,
52,1732736436.742756,2024-11-27 14:40:36.742756,577361,2,72478,21294,309.3460673568971,166.40957209732642,1,
53,1732736736.942007,2024-11-27 14:45:36.942007,577742,2,72478,21304,309.3416562395949,166.47881918676092,1,
54,1732737036.771996,2024-11-27 14:50:36.771996,578099,2,72479,21304,309.331490195526,166.45878688688268,1,
55,1732737336.803034,2024-11-27 14:55:36.803034,578478,2,72480,21305,309.3246491877406,166.49175369654145,1,
56,1732737636.816151,2024-11-27 15:00:36.816151,578831,2,72481,21298,309.32209741572143,166.49313998619874,1,
57,1732737937.065755,2024-11-27 15:05:37.065755,579150,2,72481,21291,309.3596155872852,166.44625284692918,1,
58,1732738236.794558,2024-11-27 15:10:36.794558,579525,2,72482,21305,309.4007610029828,166.47210056593508,1,
59,1732738536.813072,2024-11-27 15:15:36.813072,579955,2,72482,21298,309.43658788276235,166.47351169877084,1,
60,1732738836.970641,2024-11-27 15:20:36.970641,580322,2,72482,21285,309.4652909885378,166.5721681727843,1,
61,1732739137.091663,2024-11-27 15:25:37.091663,580680,2,72482,21277,309.5133227698176,166.67031286271256,1,
62,1732739436.934537,2024-11-27 15:30:36.934537,580996,2,72484,21269,309.5296456192815,166.65229762605233,1,
63,1732739736.961783,2024-11-27 15:35:36.961783,581347,2,72485,21269,309.5796271676122,166.67034846566193,1,
64,1732740036.916386,2024-11-27 15:40:36.916386,581718,2,72485,21278,309.6279798542301,166.68100669666472,1,
65,1732740337.04509,2024-11-27 15:45:37.045090,582101,2,72485,21289,309.6379306587238,166.92060965033465,1,
66,1732740636.867496,2024-11-27 15:50:36.867496,582493,2,72487,21310,309.62096141561267,166.9417764237293,1,
67,1732740936.910926,2024-11-27 15:55:36.910926,582904,2,72487,21314,309.6062523493059,166.8199246239628,1,
68,1732741237.199657,2024-11-27 16:00:37.199657,583301,2,72488,21304,309.57927985343105,166.85194546372665,1,
69,1732741537.083898,2024-11-27 16:05:37.083898,583681,2,72488,21299,309.58267527625185,166.88569507364284,1,
70,1732741836.995005,2024-11-27 16:10:36.995005,584091,2,72488,21304,309.6174387857808,166.887957040876,1,
71,1732741948.444188,2024-11-27 16:12:28.444188,584192,2,72488,21306,309.6323160561345,166.90603449384238,1,
72,1732742136.997252,2024-11-27 16:15:36.997252,584391,2,72489,21299,309.6607137368267,166.92518449372383,1,
73,1732742436.960482,2024-11-27 16:20:36.960482,584737,2,72489,21298,309.69232480275434,166.94645963542814,1,
74,1732742737.015496,2024-11-27 16:25:37.015496,585054,2,72489,21299,309.71672967483045,166.94363727398195,1,
75,1732743037.007908,2024-11-27 16:30:37.007908,585430,2,72491,21309,309.7244419951671,166.8859622229964,1,
76,1732743389.987378,2024-11-27 16:36:29.987378,585854,2,72491,21314,309.77302403646894,166.93472952296136,1,
77,1732743689.989332,2024-11-27 16:41:29.989332,586213,2,72491,21306,309.8112320634355,167.01567246088734,1,
78,1732743990.006678,2024-11-27 16:46:30.006678,586598,2,72491,21299,309.8690462363249,166.99794969252625,1,
79,1732744289.996895,2024-11-27 16:51:29.996895,587006,2,72492,21296,309.9193297337423,166.9964844183556,1,
80,1732744597.059553,2024-11-27 16:56:37.059553,587442,2,72492,21290,309.9557767411273,167.04187606238565,1,
81,1732744897.202193,2024-11-27 17:01:37.202193,587788,2,72492,21294,309.99608970111467,166.9397440246242,1,
82,1732745197.168736,2024-11-27 17:06:37.168736,588144,2,72493,21288,310.0424164485851,166.94587404288615,1,
83,1732745497.214829,2024-11-27 17:11:37.214829,588482,2,72493,21295,310.0783151315721,167.01787802040386,1,
84,1732745797.168993,2024-11-27 17:16:37.168993,588824,2,72493,21302,310.108092879169,167.06059411580435,1,
85,1732746097.162119,2024-11-27 17:21:37.162119,589025,2,72493,21293,310.1739533476873,167.1779785005956,1,
86,1732746397.186069,2024-11-27 17:26:37.186069,589335,2,72493,21285,310.2556143076455,167.16653573256525,1,
87,1732746697.189962,2024-11-27 17:31:37.189962,589702,2,72493,21288,310.3336736300862,167.3236978125224,1,
88,1732746997.180057,2024-11-27 17:36:37.180057,590078,2,72493,21281,310.4059640391138,167.24607882592665,1,
89,1732747297.271471,2024-11-27 17:41:37.271471,590488,2,72493,21261,310.4789899440545,167.1775912749874,1,
90,1732747597.25664,2024-11-27 17:46:37.256640,590875,2,72493,21245,310.5673046898645,167.2368939212609,1,
91,1732747897.303834,2024-11-27 17:51:37.303834,591280,2,72493,21243,310.6563561673392,167.26710345280733,1,
92,1732748197.287627,2024-11-27 17:56:37.287627,591682,2,72494,21242,310.7105708043634,167.182379521491,1,
93,1732748497.412234,2024-11-27 18:01:37.412234,592092,2,72494,21243,310.76725540038353,167.18538721652314,1,
94,1732748797.299625,2024-11-27 18:06:37.299625,592504,2,72494,21251,310.7971483326137,167.21077230702826,1,
95,1732749097.27574,2024-11-27 18:11:37.275740,592919,2,72494,21250,310.83043452423755,167.3268129293006,1,
96,1732749397.31824,2024-11-27 18:16:37.318240,593308,2,72494,21235,310.86755742288324,167.36343758447492,1,
97,1732749697.528596,2024-11-27 18:21:37.528596,593734,2,72495,21218,310.8815683520506,167.3794616544792,1,
98,1732749997.580485,2024-11-27 18:26:37.580485,594131,2,72497,21193,310.912889166182,167.3357290507631,1,
99,1732750297.67222,2024-11-27 18:31:37.672220,594541,2,72497,21172,310.94195567358884,167.18157758086878,1,
100,1732750597.493649,2024-11-27 18:36:37.493649,594978,2,72497,21148,310.9472549624506,166.9715477589849,1,
101,1732750897.506919,2024-11-27 18:41:37.506919,595368,2,72498,21114,310.9512412231729,166.92891068322916,1,
102,1732751197.479722,2024-11-27 18:46:37.479722,595755,2,72498,21091,310.9562741304914,166.80861718586243,1,
103,1732751497.536015,2024-11-27 18:51:37.536015,596090,2,72498,21073,310.963581509449,166.57762668018927,1,
104,1732751797.520839,2024-11-27 18:56:37.520839,596474,2,72498,21048,310.9665075288433,166.57271838837897,1,
105,1732752097.46636,2024-11-27 19:01:37.466360,596884,2,72499,21030,310.9899334392172,166.52426563484397,1,
106,1732752397.435175,2024-11-27 19:06:37.435175,597173,2,72499,21007,311.03073010469006,166.41463658632742,1,
107,1732752697.48613,2024-11-27 19:11:37.486130,597398,2,72499,20995,311.05934504756686,166.4829947259558,1,
108,1732752997.431658,2024-11-27 19:16:37.431658,597691,2,72499,20976,311.1240176693989,166.49450797775884,1,
109,1732753297.521129,2024-11-27 19:21:37.521129,597944,2,72499,20955,311.16581618248284,166.48306026096864,1,
110,1732753597.491042,2024-11-27 19:26:37.491042,598191,2,72499,20949,311.20264485289056,166.54924042441337,1,
111,1732753897.547538,2024-11-27 19:31:37.547538,598459,2,72500,20936,311.22880480871186,166.41420069198955,1,
112,1732754197.586129,2024-11-27 19:36:37.586129,598710,2,72501,20926,311.2584381465716,166.31066576389475,1,
113,1732754497.612631,2024-11-27 19:41:37.612631,598951,2,72501,20919,311.26427999243066,166.25334026119677,1,
114,1732754797.512744,2024-11-27 19:46:37.512744,599152,2,72502,20922,311.24905142046106,166.17900769757316,1,
115,1732755097.659263,2024-11-27 19:51:37.659263,599355,2,72502,20911,311.24146337703166,166.2049953484816,1,
116,1732755397.623233,2024-11-27 19:56:37.623233,599543,2,72502,20908,311.2257311333935,166.34549329287603,1,
117,1732755697.549666,2024-11-27 20:01:37.549666,599762,2,72502,20893,311.2666390755022,166.4761489215766,1,
118,1732755997.589269,2024-11-27 20:06:37.589269,599929,2,72503,20891,311.30554414468435,166.4923666183447,1,
119,1732756297.718759,2024-11-27 20:11:37.718759,600076,2,72503,20889,311.34242842862636,166.43617049007963,1,
120,1732756597.660425,2024-11-27 20:16:37.660425,600208,2,72503,20879,311.36514959290855,166.39476219414783,1,
121,1732756897.759967,2024-11-27 20:21:37.759967,600353,2,72503,20880,311.4091316263875,166.53208058264985,1,
122,1732757197.628638,2024-11-27 20:26:37.628638,600474,2,72503,20880,311.41568301742524,166.47210785718008,1,
123,1732757497.793432,2024-11-27 20:31:37.793432,600624,2,72503,20872,311.4467859810112,166.4776923163457,1,
124,1732757797.677904,2024-11-27 20:36:37.677904,600733,2,72503,20871,311.47136286765766,166.4670109427817,1,
125,1732758097.755661,2024-11-27 20:41:37.755661,600849,2,72503,20860,311.4914331066796,166.45248239901758,1,
126,1732758397.707308,2024-11-27 20:46:37.707308,600990,2,72503,20860,311.50616530869496,166.43000611543926,1,
127,1732758697.671169,2024-11-27 20:51:37.671169,601106,2,72503,20863,311.5128368554243,166.54186676783658,1,
128,1732758997.725618,2024-11-27 20:56:37.725618,601225,2,72503,20869,311.51579884044105,166.56713713880166,1,
129,1732759297.770066,2024-11-27 21:01:37.770066,601343,2,72503,20864,311.5199279358689,166.53207704270764,1,
130,1732759597.73688,2024-11-27 21:06:37.736880,601404,2,72503,20864,311.52835737695426,166.4959947020806,1,
131,1732759897.751644,2024-11-27 21:11:37.751644,601444,2,72503,20863,311.53561452983394,166.49034826463893,1,
132,1732760197.727584,2024-11-27 21:16:37.727584,601463,2,72503,20863,311.5425227985583,166.49034826463893,1,
133,1732760497.737471,2024-11-27 21:21:37.737471,601473,2,72503,20862,311.54543587922643,166.48789837240733,1,
134,1732760797.882434,2024-11-27 21:26:37.882434,601483,2,72503,20862,311.5495042961422,166.48789837240733,1,
135,1732761097.809066,2024-11-27 21:31:37.809066,601489,2,72503,20862,311.5506292605642,166.48789837240733,1,
136,1732761397.808568,2024-11-27 21:36:37.808568,601489,2,72503,20862,311.5506292605642,166.48789837240733,1,
137,1732761697.861487,2024-11-27 21:41:37.861487,601489,2,72503,20862,311.5506292605642,166.48789837240733,1,
138,1732761997.872309,2024-11-27 21:46:37.872309,601489,2,72503,20862,311.5506292605642,166.48789837240733,1,
139,1732762297.862639,2024-11-27 21:51:37.862639,601489,2,72503,20862,311.5506292605642,166.48789837240733,1,
140,1732762597.860082,2024-11-27 21:56:37.860082,601489,2,72503,20862,311.5506292605642,166.48789837240733,1,
141,1732762897.862561,2024-11-27 22:01:37.862561,601489,2,72503,20862,311.5506292605642,166.48789837240733,1,
