calledstation,real_sessiontime,num_llamadas,dur_prom,std_lst_2,mean_lst_2,flat_ratio
18558003667,3823,17,224.88235294117646,0.7071067811865476,591.5,0.00119544679828664
18444457381,3728,17,219.2941176470588,0.0,183.0,0.0
18004634860,3710,17,218.23529411764707,0.0,697.0,0.0
18884458230,3696,17,217.41176470588235,0.0,4.0,0.0
18887193321,3694,17,217.2941176470588,0.0,259.0,0.0
18553762360,3670,17,215.88235294117646,0.0,133.0,0.0
18886460270,3433,17,201.94117647058823,0.0,176.0,0.0
18006940539,3375,17,198.52941176470588,0.0,7.0,0.0
18555207768,3345,17,196.76470588235293,0.0,348.0,0.0
18884743125,3329,17,195.8235294117647,0.0,390.0,0.0
18885223307,3326,17,195.64705882352942,0.0,183.0,0.0
18558287058,3122,17,183.64705882352942,0.0,15.0,0.0
18557013033,3092,17,181.88235294117646,0.0,181.0,0.0
